ThisIsATest.csv,,Core 1,,,,,,,Core 2,,,,,,
,Timestamp,TFE id,TFE min speed,TFE max speed,TFE located,TFE block,TFE abscissa,TFE direction,TFE id,TFE min speed,TFE max speed,TFE located,TFE block,TFE abscissa,TFE direction
,2022-06-22 11:19:20.0,2,5.467,6.697,True,711,56.767,NA,,,,,,,
,2022-06-22 11:19:20.2,2,5.467,6.697,True,711,56.419,NA,,,,,,,
,2022-06-22 11:19:20.4,2,5.854,7.084,True,711,56.049,NA,,,,,,,
,2022-06-22 11:19:20.6,2,5.467,6.697,True,711,55.700,NA,,,,,,,
,2022-06-22 11:19:20.8,2,5.854,7.084,True,711,55.331,NA,,,,,,,
,2022-06-22 11:19:21.0,2,5.854,7.084,True,711,54.961,NA,,,,,,,
,2022-06-22 11:19:21.2,2,5.854,7.084,True,711,54.591,NA,,,,,,,
,2022-06-22 11:19:21.4,2,5.854,7.084,True,711,54.221,NA,,,,,,,
,2022-06-22 11:19:21.6,2,5.854,7.084,True,711,53.851,NA,,,,,,,
,2022-06-22 11:19:21.8,2,5.854,7.084,True,711,53.481,NA,,,,,,,
,2022-06-22 11:19:22.0,2,5.854,7.084,True,711,53.111,NA,,,,,,,
,2022-06-22 11:19:22.2,2,5.854,7.084,True,711,52.741,NA,,,,,,,
,2022-06-22 11:19:22.4,2,5.854,7.084,True,711,52.371,NA,,,,,,,
,2022-06-22 11:19:22.6,2,5.854,7.084,True,711,52.002,NA,,,,,,,
,2022-06-22 11:19:22.8,2,5.854,7.084,True,711,51.632,NA,,,,,,,
,2022-06-22 11:19:23.0,2,5.854,7.084,True,711,51.262,NA,,,,,,,
,2022-06-22 11:19:23.2,2,5.854,7.084,True,711,50.892,NA,,,,,,,
,2022-06-22 11:19:23.4,2,5.854,7.084,True,711,50.521,NA,,,,,,,
,2022-06-22 11:19:23.6,2,5.854,7.084,True,711,50.152,NA,,,,,,,
,2022-06-22 11:19:23.8,2,5.467,6.697,True,711,49.804,NA,,,,,,,
,2022-06-22 11:19:24.0,2,5.854,7.084,True,711,49.434,NA,,,,,,,
